gene	observed CpG	expected CpG	CpG bias
g2575	821	1011.75	0.8115
g2576	11	29.65	0.371
g2577	650	695.63	0.9344
g2578	97	124.33	0.7802
g2579	4	14.69	0.2723
g2580	435	474.28	0.9172
g2581	43	54.15	0.7941
g2582	99	122.41	0.8088
g2583	15	16.04	0.9352
g2584	21	27.25	0.7706
g2585	39	38.85	1.0039
g2586	384	464.98	0.8258
g2587	145	174.18	0.8325
g2588	14	21.25	0.6588
g2589	25	20.48	1.2207
g2590	173	178.04	0.9717
g2591	134	182.64	0.7337
g2592	23	20.16	1.1409
g2593	184	199.65	0.9216
g2594	32	40.69	0.7864
g2595	14	15.58	0.8986
g2596	2	8.4	0.2381
g2597	16	15.11	1.0589
g2598	125	251.81	0.4964
g2599	7	12.52	0.5591
g2600	18	28.05	0.6417
g2601	26	46.44	0.5599
g2602	188	220.45	0.8528
g2603	27	32.94	0.8197
g2604	80	105.39	0.7591
g2605	25	62.37	0.4008
g2606	58	169.0	0.3432
g2607	43	44.53	0.9656
g2608	45	117.9	0.3817
g2609	7	11.67	0.5998
g2610	9	12.51	0.7194
g2611	3	13.9	0.2158
g2612	44	79.61	0.5527
g2613	200	311.87	0.6413
g2614	7	13.75	0.5091
g2615	12	44.1	0.2721
g2616	37	52.39	0.7062
g2617	74	279.42	0.2648
g2618	7	9.52	0.7353
g2619	289	501.34	0.5765
g2620	271	534.71	0.5068
g2621	458	492.47	0.93
g2622	237	262.39	0.9032
g2623	159	181.41	0.8765
g2624	808	912.17	0.8858
g2625	187	389.36	0.4803
g2626	195	246.66	0.7906
g2627	48	43.89	1.0936
g2628	359	397.01	0.9043
g2629	380	444.65	0.8546
g2630	112	120.87	0.9266
g2631	613	707.83	0.866
g2632	139	346.83	0.4008
g2633	223	330.54	0.6747
g2634	53	115.95	0.4571
g2635	215	216.67	0.9923
g2636	80	68.64	1.1655
g2637	56	49.66	1.1277
g2638	45	47.69	0.9436
g2639	50	52.43	0.9537
g2640	48	50.27	0.9548
g2641	53	52.95	1.0009
g2642	16	25.53	0.6267
g2643	497	754.88	0.6584
g2644	399	377.24	1.0577
g2645	83	112.26	0.7394
g2646	13	18.54	0.7012
g2647	14	19.56	0.7157
g2648	37	26.63	1.3894
g2649	13	14.97	0.8684
g2650	327	532.42	0.6142
g2651	70	93.95	0.7451
g2652	128	134.61	0.9509
g2653	209	321.27	0.6505
g2654	251	259.54	0.9671
g2655	606	769.75	0.7873
g2656	161	152.67	1.0546
g2657	15	49.59	0.3025
g2658	16	21.65	0.739
g2659	833	948.59	0.8781
g2660	218	299.29	0.7284
g2661	68	78.66	0.8645
g2662	245	282.87	0.8661
g2663	124	136.95	0.9054
g2664	392	572.27	0.685
g2665	392	542.45	0.7226
g2666	133	227.33	0.5851
g2667	38	43.95	0.8646
g2668	29	43.73	0.6632
g2669	23	35.08	0.6556
g2670	626	736.19	0.8503
g2671	1160	2398.84	0.4836
g2672	133	297.82	0.4466
g2673	1083	1157.83	0.9354
g2674	21	18.54	1.1327
g2675	378	417.45	0.9055
tRNA-Ser68_gene	8	6.66	1.2012
g2676	33	26.12	1.2634
g2677	10	10.57	0.9461
g2678	3	12.41	0.2417
g2679	1	16.57	0.0604
g2680	258	280.79	0.9188
g2681	481	496.88	0.968
g2682	656	730.81	0.8976
g2683	178	422.29	0.4215
g2684	57	167.3	0.3407
g2685	26	40.01	0.6498
g2686	44	80.74	0.545
g2687	761	834.62	0.9118
g2688	636	981.38	0.6481
g2689	36	45.19	0.7966
g2690	496	493.67	1.0047
g2691	46	131.45	0.3499
g2692	22	112.98	0.1947
g2693	133	231.71	0.574
g2694	71	114.4	0.6206
g2695	65	79.2	0.8207
g2696	208	203.85	1.0204
g2697	121	154.07	0.7854
g2698	25	25.84	0.9675
g2699	69	145.65	0.4737
g2700	95	99.88	0.9511
g2701	31	33.72	0.9193
g2702	59	63.42	0.9303
g2703	71	75.5	0.9404
g2704	120	289.85	0.414
g2705	11	16.1	0.6832
g2706	33	51.1	0.6458
g2708	22	32.43	0.6784
g2709	15	29.37	0.5107
g2710	596	646.32	0.9221
g2711	189	334.3	0.5654
g2712	342	449.2	0.7614
g2713	20	22.75	0.8791
g2714	323	417.01	0.7746
g2715	175	319.48	0.5478
g2716	371	403.1	0.9204
g2717	352	465.18	0.7567
g2718	50	50.89	0.9825
g2719	95	98.0	0.9694
g2720	24	25.93	0.9256
g2721	296	485.64	0.6095
g2722	104	289.33	0.3595
g2723	91	122.61	0.7422
g2724	387	413.6	0.9357
g2725	325	373.89	0.8692
g2726	195	220.48	0.8844
g2727	13	46.58	0.2791
g2728	112	200.88	0.5575
g2729	40	40.11	0.9973
g2730	118	283.26	0.4166
g2731	138	130.92	1.0541
g2732	1410	1791.88	0.7869
g2733	85	116.18	0.7316
g2734	73	72.12	1.0122
g2735	828	935.94	0.8847
g2736	41	54.93	0.7464
g2737	74	85.91	0.8614
g2738	47	78.57	0.5982
g2739	74	85.91	0.8614
g2740	303	393.1	0.7708
g2741	381	431.17	0.8836
g2742	217	228.16	0.9511
g2743	64	79.99	0.8001
g2744	11	17.46	0.63
g2745	180	197.83	0.9099
g2746	11	15.31	0.7185
g2747	358	445.39	0.8038
g2748	16	20.86	0.767
g2749	124	186.89	0.6635
g2750	14	17.74	0.7892
g2751	14	17.73	0.7896
g2752	20	31.12	0.6427
g2753	11	14.11	0.7796
g2754	26	29.68	0.876
g2755	1203	1419.57	0.8474
g2756	567	613.96	0.9235
g2757	691	673.43	1.0261
g2758	31	39.25	0.7898
g2759	184	282.92	0.6504
g2760	76	228.87	0.3321
g2761	62	80.87	0.7667
g2762	20	32.58	0.6139
g2763	50	52.39	0.9544
g2764	28	70.19	0.3989
g2765	13	31.19	0.4168
g2766	835	938.69	0.8895
g2767	321	336.53	0.9539
g2768	224	254.98	0.8785
g2769	47	53.1	0.8851
g2770	15	37.78	0.397
g2771	11	69.14	0.1591
g2772	193	258.54	0.7465
g2773	60	94.96	0.6318
g2774	239	299.48	0.798
g2775	213	240.25	0.8866
g2776	234	440.21	0.5316
g2777	132	391.82	0.3369
tRNA-Leu71_gene	6	8.79	0.6826
tRNA-Leu70_gene	7	8.98	0.7795
tRNA-Leu69_gene	6	8.93	0.6719
g2778	28	38.82	0.7213
g2779	113	113.4	0.9965
g2780	570	611.44	0.9322
g2781	51	54.17	0.9415
g2782	325	341.54	0.9516
g2783	2360	2602.47	0.9068
g2784	72	129.79	0.5547
g2785	82	112.83	0.7268
g2786	534	516.52	1.0338
g2787	99	400.11	0.2474
g2788	57	88.26	0.6458
g2789	101	206.83	0.4883
g2790	18	41.96	0.429
g2791	184	436.03	0.422
g2792	280	594.3	0.4711
g2793	8	17.62	0.454
g2794	68	88.4	0.7692
g2795	69	117.98	0.5848
g2796	1	13.98	0.0715
g2797	46	79.55	0.5783
g2798	48	80.37	0.5972
g2799	31	26.35	1.1765
g2800	17	63.92	0.266
g2801	21	37.61	0.5584
g2802	114	155.34	0.7339
g2803	68	95.53	0.7118
g2804	21	46.83	0.4484
g2805	12	44.91	0.2672
g2806	54	66.29	0.8146
g2807	373	489.22	0.7624
g2808	29	31.49	0.9209
g2809	92	165.4	0.5562
g2810	120	177.83	0.6748
g2811	39	46.62	0.8366
g2812	130	137.07	0.9484
g2813	274	414.03	0.6618
g2814	60	73.61	0.8151
g2815	63	140.17	0.4495
g2816	69	81.5	0.8466
g2817	251	394.07	0.6369
g2818	8	19.65	0.4071
g2819	50	101.72	0.4915
g2820	104	229.75	0.4527
g2821	507	620.1	0.8176
g2822	264	329.33	0.8016
g2823	533	581.67	0.9163
g2824	114	210.9	0.5405
g2825	46	53.52	0.8595
g2826	13	16.0	0.8125
g2827	88	141.5	0.6219
g2828	26	31.21	0.8331
g2829	20	24.9	0.8032
g2830	247	285.85	0.8641
g2831	16	11.72	1.3652
g2832	277	500.05	0.5539
g2833	233	289.54	0.8047
g2834	210	234.2	0.8967
g2835	39	46.2	0.8442
g2836	11	20.27	0.5427
g2837	11	20.27	0.5427
g2838	21	21.16	0.9924
g2840	174	232.04	0.7499
g2841	9	22.51	0.3998
g2842	14	22.62	0.6189
g2843	37	38.39	0.9638
g2844	128	162.06	0.7898
g2845	122	149.79	0.8145
g2846	99	132.93	0.7448
g2847	237	374.01	0.6337
g2848	535	1007.8	0.5309
g2849	94	146.01	0.6438
g2850	88	199.95	0.4401
g2851	24	22.23	1.0796
g2852	482	563.72	0.855
g2853	62	99.49	0.6232
g2854	115	276.05	0.4166
g2855	194	207.63	0.9344
g2856	246	280.43	0.8772
g2857	217	378.27	0.5737
g2858	34	40.6	0.8374
g2859	31	35.56	0.8718
g2860	520	839.21	0.6196
g2861	46	114.73	0.4009
g2862	23	44.03	0.5224
g2863	54	131.07	0.412
g2864	188	242.71	0.7746
g2865	497	888.01	0.5597
g2866	78	277.8	0.2808
g2867	82	189.85	0.4319
g2868	58	55.29	1.049
g2869	165	286.28	0.5764
g2870	374	627.31	0.5962
g2871	240	303.8	0.79
g2872	31	61.86	0.5011
g2873	25	77.86	0.3211
g2874	29	80.65	0.3596
g2875	173	285.15	0.6067
g2876	336	340.46	0.9869
g2877	76	104.19	0.7294
g2878	30	34.24	0.8762
g2879	46	120.29	0.3824
g2880	13	25.79	0.5041
g2881	23	39.05	0.589
g2882	6	27.33	0.2195
g2883	178	254.39	0.6997
g2884	69	125.18	0.5512
g2885	198	348.81	0.5676
g2886	16	31.82	0.5028
g2887	87	169.53	0.5132
g2888	234	330.04	0.709
g2889	170	240.15	0.7079
g2890	62	102.83	0.6029
g2891	806	804.63	1.0017
g2892	244	407.85	0.5983
g2893	79	59.35	1.3311
g2894	280	277.89	1.0076
g2895	302	337.12	0.8958
g2896	217	248.38	0.8737
g2897	11	13.74	0.8006
g2898	19	91.68	0.2072
g2899	240	398.83	0.6018
g2900	108	187.59	0.5757
g2901	175	185.6	0.9429
g2902	112	129.51	0.8648
g2903	96	188.31	0.5098
g2904	138	144.22	0.9569
g2905	79	200.57	0.3939
g2906	50	50.95	0.9814
g2907	232	215.52	1.0765
g2908	297	390.44	0.7607
g2909	22	50.94	0.4319
g2910	334	356.93	0.9358
g2911	24	71.56	0.3354
g2912	7	14.51	0.4824
g2913	7	36.14	0.1937
g2914	234	430.74	0.5433
g2915	36	65.39	0.5505
g2916	35	39.05	0.8963
g2917	17	18.65	0.9115
tRNA-Pro75_gene	6	7.22	0.831
tRNA-Asn72_gene	10	6.84	1.462
tRNA-Pro74_gene	6	7.22	0.831
tRNA-Asn73_gene	9	6.76	1.3314
g2918	500	524.03	0.9541
g2919	346	425.07	0.814
g2920	131	163.67	0.8004
g2921	59	67.97	0.868
g2922	57	69.12	0.8247
g2923	250	280.2	0.8922
g2924	286	259.27	1.1031
g2925	190	274.99	0.6909
g2926	357	427.89	0.8343
g2927	1076	1208.12	0.8906
g2928	6	19.14	0.3135
g2929	10	36.39	0.2748
g2931	9	19.85	0.4534
g2932	778	1135.56	0.6851
g2933	25	23.35	1.0707
g2934	32	35.4	0.904
g2935	403	990.0	0.4071
g2936	138	160.3	0.8609
g2937	10	62.6	0.1597
g2938	277	454.64	0.6093
g2939	75	79.57	0.9426
g2940	216	219.96	0.982
g2941	37	64.06	0.5776
g2942	16	30.3	0.5281
g2943	20	32.97	0.6066
g2944	164	175.52	0.9344
g2945	31	33.85	0.9158
g2946	267	493.59	0.5409
g2947	136	151.57	0.8973
g2948	252	271.83	0.927
g2949	30	71.7	0.4184
g2950	222	606.55	0.366
g2951	302	475.96	0.6345
g2952	36	121.8	0.2956
g2953	108	338.36	0.3192
g2954	37	47.28	0.7826
g2955	864	1505.31	0.574
g2956	62	211.61	0.293
g2957	41	63.74	0.6432
g2958	73	162.65	0.4488
g2959	110	196.7	0.5592
g2960	75	254.64	0.2945
g2961	84	101.24	0.8297
g2962	218	256.76	0.849
g2963	28	26.17	1.0699
g2964	32	27.1	1.1808
g2965	35	112.79	0.3103
g2966	84	166.11	0.5057
g2967	173	343.07	0.5043
g2968	276	329.81	0.8368
g2969	42	59.84	0.7019
g2970	7	11.17	0.6267
g2971	115	213.88	0.5377
g2972	27	55.84	0.4835
g2973	66	170.86	0.3863
g2974	55	141.58	0.3885
g2975	62	190.85	0.3249
g2976	7	55.82	0.1254
g2977	3	26.3	0.1141
g2978	65	122.0	0.5328
g2979	53	96.61	0.5486
g2980	24	47.81	0.502
g2981	9	58.3	0.1544
g2982	640	699.08	0.9155
tRNA-Val77_gene	6	5.48	1.0949
g2983	249	414.94	0.6001
g2984	206	305.92	0.6734
g2985	512	569.43	0.8991
tRNA-Cys76_gene	3	6.0	0.5
g2986	217	236.98	0.9157
g2987	83	99.05	0.838
g2988	125	194.83	0.6416
g2989	487	520.53	0.9356
g2990	155	168.59	0.9194
g2991	251	610.47	0.4112
g2992	1128	1774.46	0.6357
g2993	36	66.6	0.5405
g2994	22	39.13	0.5622
g2995	76	102.23	0.7434
g2996	121	142.82	0.8472
g2997	23	27.7	0.8303
g2998	18	26.53	0.6785
g2999	192	429.59	0.4469
g3000	127	158.28	0.8024
g3001	1139	1274.39	0.8938
g3002	25	34.44	0.7259
g3003	151	248.83	0.6068
g3004	182	219.17	0.8304
g3005	39	127.23	0.3065
g3006	216	310.22	0.6963
g3007	227	248.98	0.9117
g3008	65	143.79	0.452
g3009	29	30.36	0.9552
g3010	178	213.41	0.8341
g3011	519	752.04	0.6901
g3012	97	125.06	0.7756
g3013	103	130.8	0.7875
g3014	125	128.14	0.9755
g3015	80	203.32	0.3935
g3016	19	22.35	0.8501
g3017	97	267.44	0.3627
g3018	21	112.19	0.1872
g3019	64	152.77	0.4189
g3020	206	233.46	0.8824
g3021	411	605.5	0.6788
g3022	381	629.0	0.6057
g3023	136	238.49	0.5703
g3024	62	85.77	0.7229
g3025	28	59.17	0.4732
g3026	384	430.94	0.8911
g3027	50	115.61	0.4325
g3028	206	397.69	0.518
g3029	18	39.73	0.4531
g3030	22	60.65	0.3627
g3031	44	56.1	0.7843
g3032	874	965.26	0.9055
g3033	126	156.0	0.8077
g3034	25	79.66	0.3138
g3035	1388	1648.8	0.8418
g3036	247	279.22	0.8846
g3037	137	146.19	0.9371
g3038	43	113.4	0.3792
g3039	56	90.32	0.62
g3040	64	94.27	0.6789
g3041	25	56.9	0.4394
g3042	175	154.83	1.1303
g3043	124	273.89	0.4527
g3044	56	65.77	0.8515
g3045	227	271.93	0.8348
g3046	176	184.85	0.9521
g3047	24	69.25	0.3466
g3048	367	370.81	0.9897
g3049	73	83.45	0.8748
g3050	14	80.0	0.175
g3051	13	70.02	0.1857
g3052	551	669.25	0.8233
g3053	163	301.96	0.5398
g3054	205	348.95	0.5875
g3055	630	676.45	0.9313
g3056	160	240.51	0.6653
g3057	136	216.33	0.6287
g3058	31	43.25	0.7168
g3059	137	175.11	0.7824
g3060	121	104.19	1.1613
g3061	80	73.21	1.0927
g3062	578	933.43	0.6192
g3063	1079	1259.53	0.8567
g3064	263	414.46	0.6346
g3065	206	374.64	0.5499
g3066	251	358.26	0.7006
g3067	238	332.12	0.7166
g3068	92	123.48	0.7451
g3069	17	19.93	0.853
g3070	106	267.13	0.3968
g3071	468	546.04	0.8571
g3072	24	25.69	0.9342
g3073	32	29.79	1.0742
g3074	24	31.1	0.7717
g3075	26	27.61	0.9417
g3076	41	44.85	0.9142
g3077	38	47.73	0.7961
g3078	47	46.49	1.011
g3079	8	24.24	0.33
g3080	73	85.99	0.8489
g3081	29	30.51	0.9505
g3082	14	19.38	0.7224
g3083	14	51.55	0.2716
g3084	27	61.14	0.4416
g3085	13	70.71	0.1838
g3086	187	181.78	1.0287
g3087	17	28.35	0.5996
g3088	73	96.88	0.7535
g3089	76	81.96	0.9273
g3090	24	27.45	0.8743
g3091	16	26.88	0.5952
g3092	33	59.32	0.5563
g3093	41	49.79	0.8235
g3094	74	174.81	0.4233
g3095	97	193.41	0.5015
g3096	126	174.3	0.7229
g3097	1118	1154.93	0.968
g3098	1056	1172.63	0.9005
g3099	752	809.71	0.9287
g3100	104	181.36	0.5734
g3101	171	187.71	0.911
g3102	22	22.06	0.9973
g3103	110	160.47	0.6855
g3104	301	329.59	0.9133
g3105	69	58.16	1.1864
g3106	563	592.6	0.9501
g3107	11	10.77	1.0214
g3108	10	13.63	0.7337
g3109	39	36.92	1.0563
g3110	44	103.44	0.4254
g3111	47	45.17	1.0405
g3112	265	706.08	0.3753
g3113	54	221.32	0.244
g3114	65	181.12	0.3589
g3115	73	215.53	0.3387
g3116	37	118.11	0.3133
g3117	101	305.87	0.3302
g3118	56	77.49	0.7227
g3119	44	56.9	0.7733
g3120	65	92.21	0.7049
g3121	159	298.06	0.5334
g3122	14	22.2	0.6306
g3123	52	49.03	1.0606
g3124	188	593.65	0.3167
g3125	372	532.83	0.6982
g3126	308	373.19	0.8253
g3127	228	314.73	0.7244
g3128	543	822.78	0.66
g3129	181	188.59	0.9598
g3130	53	200.53	0.2643
g3131	600	651.81	0.9205
g3132	540	605.54	0.8918
g3133	141	156.22	0.9026
tRNA-Gln78_gene	3	4.49	0.6682
tRNA-Gln79_gene	3	5.28	0.5682
g3134	45	46.51	0.9675
tRNA-Gln80_gene	3	5.5	0.5455
g3135	151	262.24	0.5758
g3136	294	371.98	0.7904
g3137	315	364.87	0.8633
g3138	549	764.11	0.7185
g3139	74	77.18	0.9588
g3140	57	78.61	0.7251
g3141	303	410.26	0.7386
g3142	58	129.06	0.4494
g3143	796	847.23	0.9395
g3144	86	90.52	0.9501
g3145	54	65.9	0.8194
g3146	12	48.95	0.2451
g3147	7	50.18	0.1395
g3148	31	74.33	0.4171
g3149	26	28.83	0.9018
g3150	106	258.83	0.4095
g3151	117	186.79	0.6264
g3152	311	275.68	1.1281
g3153	176	146.36	1.2025
g3154	489	592.93	0.8247
g3155	37	29.47	1.2555
g3156	38	29.19	1.3018
g3157	27	35.28	0.7653
g3158	302	640.35	0.4716
g3159	17	14.15	1.2014
g3160	140	160.15	0.8742
g3161	58	43.04	1.3476
g3162	76	74.56	1.0193
g3163	44	71.76	0.6132
g3164	36	70.85	0.5081
g3165	22	96.21	0.2287
g3166	16	67.4	0.2374
g3167	18	30.66	0.5871
g3168	4	17.04	0.2347
g3169	16	24.02	0.6661
g3170	404	608.8	0.6636
g3171	106	150.83	0.7028
g3172	292	373.32	0.7822
g3173	46	47.34	0.9717
g3174	38	43.97	0.8642
g3175	18	18.26	0.9858
g3176	39	45.73	0.8528
g3177	37	37.79	0.9791
g3178	32	35.73	0.8956
g3179	81	158.09	0.5124
g3180	94	98.61	0.9533
g3181	277	286.35	0.9673
g3182	56	53.33	1.0501
g3183	542	579.33	0.9356
g3184	446	551.79	0.8083
g3185	22	86.01	0.2558
g3186	16	25.27	0.6332
g3187	144	226.63	0.6354
g3188	7	36.8	0.1902
g3189	34	128.12	0.2654
g3190	47	94.55	0.4971
g3191	54	63.66	0.8483
g3192	14	31.97	0.4379
g3193	27	92.11	0.2931
g3194	97	405.02	0.2395
g3195	131	282.2	0.4642
g3196	291	387.03	0.7519
g3197	218	247.23	0.8818
g3198	54	57.92	0.9323
g3199	766	821.41	0.9325
g3200	94	143.06	0.6571
g3201	43	58.07	0.7405
g3202	178	199.41	0.8926
g3203	42	63.73	0.659
g3204	48	48.51	0.9895
g3205	12	30.32	0.3958
g3206	48	47.12	1.0187
g3207	34	77.85	0.4367
g3208	16	50.8	0.315
g3209	13	37.46	0.347
g3210	40	101.36	0.3946
g3211	59	137.97	0.4276
g3212	93	124.4	0.7476
g3214	400	522.85	0.765
g3215	63	64.27	0.9802
g3216	221	303.73	0.7276
g3217	141	173.96	0.8105
g3218	209	387.95	0.5387
g3219	430	447.17	0.9616
g3220	159	195.09	0.815
g3221	62	90.31	0.6865
g3222	3	12.03	0.2494
g3223	22	58.06	0.3789
g3224	27	46.72	0.5779
g3225	26	46.15	0.5634
g3226	9	21.43	0.42
g3227	21	38.51	0.5453
g3228	61	72.43	0.8422
g3230	44	72.29	0.6087
g3231	36	44.8	0.8036
g3232	46	87.7	0.5245
g3234	31	63.64	0.4871
g3235	17	55.38	0.307
g3236	39	46.9	0.8316
g3237	23	106.28	0.2164
g3238	31	49.26	0.6293
g3239	27	61.64	0.438
g3240	241	752.47	0.3203
g3241	57	118.3	0.4818
g3242	29	82.8	0.3502
g3243	153	373.66	0.4095
g3244	123	135.25	0.9094
g3245	100	130.74	0.7649
g3246	182	271.15	0.6712
g3247	337	395.19	0.8528
g3248	90	160.56	0.5605
g3249	235	231.44	1.0154
g3250	34	32.16	1.0572
g3251	107	129.83	0.8242
g3252	239	225.42	1.0602
g3253	66	82.54	0.7996
g3254	61	55.72	1.0948
g3255	247	304.12	0.8122
g3256	179	207.06	0.8645
g3257	130	276.48	0.4702
g3258	40	126.13	0.3171
g3259	29	94.63	0.3065
g3260	47	64.54	0.7282
g3261	60	60.46	0.9924
g3262	4	10.59	0.3777
g3263	84	157.43	0.5336
g3264	84	102.9	0.8163
g3265	189	228.23	0.8281
g3266	71	79.55	0.8925
g3267	257	253.39	1.0142
g3268	475	603.43	0.7872
g3269	53	50.36	1.0524
g3270	608	668.05	0.9101
g3271	1126	1456.96	0.7728
g3272	71	201.45	0.3524
g3273	749	903.85	0.8287
g3274	45	43.05	1.0453
g3275	61	47.35	1.2883
g3276	369	611.7	0.6032
g3277	138	158.85	0.8687
g3278	513	515.68	0.9948
g3279	319	549.26	0.5808
g3280	697	881.55	0.7907
g3281	23	30.4	0.7566
g3282	117	130.9	0.8938
g3283	54	69.2	0.7803
g3284	293	275.44	1.0638
g3285	365	381.67	0.9563
g3286	64	64.85	0.9869
g3287	79	139.51	0.5663
g3288	240	393.41	0.6101
g3289	1415	1833.62	0.7717
g3290	10	31.08	0.3218
g3291	49	47.04	1.0417
g3292	942	1014.02	0.929
g3293	475	504.13	0.9422
g3294	160	161.77	0.9891
g3295	155	259.64	0.597
g3296	86	180.98	0.4752
g3297	55	88.53	0.6213
g3298	63	87.9	0.7167
g3299	716	909.88	0.7869
g3300	220	233.02	0.9441
g3301	397	714.43	0.5557
g3302	837	927.42	0.9025
g3303	18	21.83	0.8246
g3304	392	562.94	0.6963
g3305	44	95.04	0.463
g3306	69	88.48	0.7798
g3307	137	229.38	0.5973
g3308	957	974.97	0.9816
g3309	1897	2206.41	0.8598
g3310	444	696.01	0.6379
g3311	75	70.0	1.0714
g3312	29	30.55	0.9493
g3314	30	32.09	0.9349
g3315	157	243.26	0.6454
g3316	35	67.65	0.5174
g3317	82	73.19	1.1204
g3318	458	595.54	0.769
g3319	299	377.33	0.7924
g3320	352	421.97	0.8342
g3321	257	654.47	0.3927
g3322	158	432.78	0.3651
g3323	166	492.41	0.3371
g3324	152	516.9	0.2941
g3325	31	57.41	0.54
g3326	59	118.68	0.4971
g3327	98	226.41	0.4328
g3328	40	126.43	0.3164
g3329	411	487.08	0.8438
g3330	39	45.77	0.8521
g3331	258	237.1	1.0881
g3332	13	38.82	0.3349
g3333	55	148.24	0.371
g3334	145	211.7	0.6849
g3335	128	416.65	0.3072
g3336	128	250.72	0.5105
g3337	158	332.45	0.4753
g3338	163	321.1	0.5076
g3339	28	32.0	0.875
g3340	39	47.78	0.8162
g3341	90	213.2	0.4221
g3342	72	65.67	1.0964
g3343	39	38.75	1.0065
g3344	19	28.43	0.6683
g3345	86	187.04	0.4598
g3346	21	25.96	0.8089
g3347	79	91.47	0.8637
g3348	52	44.52	1.168
g3349	204	394.39	0.5173
g3350	60	138.11	0.4344
g3351	75	189.85	0.395
g3352	144	300.11	0.4798
g3353	257	284.34	0.9038
g3354	15	17.53	0.8557
g3355	49	67.71	0.7237
g3356	23	33.34	0.6899
g3357	537	563.24	0.9534
g3358	424	560.78	0.7561
g3359	349	429.5	0.8126
g3360	301	493.62	0.6098
g3361	228	419.68	0.5433
g3362	152	209.71	0.7248
g3363	78	79.93	0.9759
g3364	94	98.73	0.9521
g3365	58	59.49	0.975
g3366	14	22.04	0.6352
g3367	11	25.78	0.4267
g3368	18	27.09	0.6645
g3369	100	119.94	0.8338
g3370	302	550.22	0.5489
g3371	73	102.77	0.7103
g3372	49	94.8	0.5169
g3373	472	543.74	0.8681
g3374	13	16.21	0.802
g3375	18	53.17	0.3385
g3376	84	157.57	0.5331
g3377	30	108.11	0.2775
g3378	6	13.86	0.4329
g3379	6	13.59	0.4415
g3380	24	49.46	0.4852
g3381	223	469.65	0.4748
g3382	32	25.48	1.2559
g3383	163	287.39	0.5672
g3384	43	67.43	0.6377
g3385	489	580.66	0.8421
g3386	176	160.17	1.0988
g3387	227	408.0	0.5564
g3388	52	160.33	0.3243
g3389	51	125.75	0.4056
g3390	356	444.09	0.8016
g3391	172	351.45	0.4894
g3392	431	543.08	0.7936
g3393	700	881.81	0.7938
g3394	105	137.88	0.7615
g3395	1850	2179.25	0.8489
g3396	257	305.64	0.8409
g3397	1088	1158.47	0.9392
g3398	229	320.14	0.7153
g3399	546	612.92	0.8908
g3400	413	929.98	0.4441
g3401	43	96.63	0.445
g3402	239	317.6	0.7525
g3403	633	656.34	0.9644
g3404	327	381.6	0.8569
g3405	170	178.28	0.9536
g3406	108	177.28	0.6092
g3407	173	291.4	0.5937
g3408	130	156.72	0.8295
g3409	48	49.24	0.9748
g3410	62	63.99	0.9689
g3411	41	41.26	0.9937
g3412	15	17.92	0.8371
g3413	41	29.34	1.3974
g3414	51	48.53	1.0509
g3415	58	56.14	1.0331
g3416	26	31.76	0.8186
g3417	93	130.54	0.7124
g3418	33	76.53	0.4312
g3419	76	211.39	0.3595
g3420	210	256.01	0.8203
g3421	151	142.14	1.0623
g3422	572	610.88	0.9364
g3423	235	226.72	1.0365
g3424	162	356.16	0.4549
g3425	52	98.6	0.5274
g3426	39	38.57	1.0111
g3427	56	45.11	1.2414
g3428	548	603.29	0.9084
g3429	176	253.67	0.6938
g3430	395	439.09	0.8996
g3431	40	92.88	0.4307
g3432	33	28.22	1.1694
g3433	635	1208.24	0.5256
g3434	264	275.97	0.9566
g3435	245	329.11	0.7444
g3436	103	186.35	0.5527
g3437	68	76.95	0.8837
g3438	59	83.18	0.7093
g3439	251	285.67	0.8786
g3440	201	230.99	0.8702
g3441	131	332.75	0.3937
g3442	30	86.27	0.3477
g3443	290	831.33	0.3488
g3444	28	87.55	0.3198
g3445	26	73.95	0.3516
g3446	100	79.66	1.2553
g3447	43	114.76	0.3747
g3448	4	13.91	0.2876
g3449	7	36.33	0.1927
g3450	671	627.74	1.0689
g3451	45	38.45	1.1704
g3452	356	401.86	0.8859
g3453	105	81.09	1.2949
g3454	62	67.28	0.9215
g3455	65	62.1	1.0467
g3456	62	54.73	1.1328
g3457	79	85.01	0.9293
g3458	56	54.5	1.0275
g3459	308	339.71	0.9067
g3460	441	521.77	0.8452
g3461	92	123.92	0.7424
g3462	81	96.31	0.841
g3463	114	151.01	0.7549
g3464	13	16.43	0.7912
g3465	48	48.15	0.9969
g3466	16	17.37	0.9211
g3467	12	19.14	0.627
g3468	19	58.25	0.3262
g3469	59	80.63	0.7317
g3470	21	70.85	0.2964
g3471	53	116.41	0.4553
g3472	446	693.3	0.6433
g3473	356	590.55	0.6028
g3474	321	360.16	0.8913
g3475	146	177.59	0.8221
g3476	10	13.18	0.7587
g3477	32	66.18	0.4835
g3478	63	165.07	0.3817
g3479	562	759.64	0.7398
g3480	148	153.82	0.9622
g3481	46	176.41	0.2608
g3482	33	91.29	0.3615
g3483	84	150.76	0.5572
g3484	247	275.58	0.8963
g3485	192	257.35	0.7461
g3486	152	218.84	0.6946
g3487	16	30.51	0.5244
g3488	65	137.34	0.4733
g3489	14	17.32	0.8083
g3490	55	105.53	0.5212
g3491	160	298.91	0.5353
g3492	59	62.96	0.9371
g3493	85	101.78	0.8351
g3494	153	168.35	0.9088
